Category Guess Histogram
========================

Matched
[831 953 717 881 771 902 520 922 935 941 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9.0]
['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']

Missed
[213  22 269 196 316  61 295 106  68  81 ---]
[0.0 0.9 1.8 2.7 3.6 4.5 5.4 6.3 7.2 8.1 9. ]


Value Guess Histogram (auto)
============================

Matched
[  63  405 1203 1835 2105 1463  735  355  159   50 ----]
[ 2.6  4.4  6.2  8.0  9.8 11.6 13.4 15.3 17.1 18.9 20.7]

Missed
[  16  111  208  317  361  348  181   61   18    6 ---- ---- ---- ----]
[ 2.1  3.5  4.9  6.3  7.7  9.1 10.5 11.8 13.2 14.6 16.0 17.4 18.8 20.2]


Value Guess Histogram
=====================

Matched
[   0   30  367 1259 2045 2288 1365  629  286   97 ----]
[   0    2    4    6    8   10   12   14   16   18   20]

Missed
[   0   48  246  434  533  292   63   10    1    0  ---]
[   0    2    4    6    8   10   12   14   16   18   20]


Missed Items
============

   12 Predicted: "Sandal" 6.4, Actual: "Sneaker" 4.4
   20 Predicted: "T-shirt/top" 6.8, Actual: "Pullover" 6.5
   21 Predicted: "Sneaker" 7.7, Actual: "Sandal" 7.6
   23 Predicted: "Sneaker" 9.0, Actual: "Ankle boot" 7.0
   25 Predicted: "Pullover" 6.3, Actual: "Coat" 4.7
   40 Predicted: "T-shirt/top" 11.8, Actual: "Shirt" 11.2
   49 Predicted: "Shirt" 9.4, Actual: "Pullover" 7.6
   50 Predicted: "Shirt" 10.0, Actual: "Coat" 9.4
   51 Predicted: "Pullover" 6.0, Actual: "Coat" 4.6
   53 Predicted: "Shirt" 9.1, Actual: "Bag" 8.4
   66 Predicted: "T-shirt/top" 4.1, Actual: "Pullover" 3.0
   67 Predicted: "Coat" 7.8, Actual: "Dress" 6.9
   68 Predicted: "Sneaker" 9.1, Actual: "Ankle boot" 5.4
   72 Predicted: "Shirt" 8.4, Actual: "Pullover" 7.4
   98 Predicted: "Shirt" 9.5, Actual: "Coat" 9.4
  103 Predicted: "Shirt" 7.8, Actual: "Pullover" 7.3
  117 Predicted: "Coat" 5.7, Actual: "Shirt" 4.5
  135 Predicted: "Coat" 6.3, Actual: "Shirt" 5.8
  147 Predicted: "Dress" 9.1, Actual: "Shirt" 3.8
  150 Predicted: "Shirt" 6.0, Actual: "Coat" 4.2
  151 Predicted: "Pullover" 6.4, Actual: "Coat" 4.6
  153 Predicted: "Dress" 9.4, Actual: "Coat" 7.1
  183 Predicted: "Bag" 10.1, Actual: "Shirt" 8.8
  219 Predicted: "Coat" 9.3, Actual: "Pullover" 8.9
  222 Predicted: "Dress" 5.4, Actual: "Pullover" 3.5
  227 Predicted: "Shirt" 10.1, Actual: "Pullover" 9.6
  239 Predicted: "Pullover" 11.7, Actual: "Coat" 8.0
  241 Predicted: "Coat" 5.6, Actual: "Shirt" 4.8
  243 Predicted: "Shirt" 5.2, Actual: "Pullover" 4.9
  244 Predicted: "Pullover" 10.1, Actual: "Shirt" 7.7
  248 Predicted: "Shirt" 6.9, Actual: "Pullover" 6.4
  249 Predicted: "Coat" 12.1, Actual: "Pullover" 10.1
  252 Predicted: "Coat" 6.1, Actual: "Shirt" 6.0
  255 Predicted: "Coat" 11.2, Actual: "Pullover" 10.4
  271 Predicted: "Shirt" 6.3, Actual: "Dress" 6.1
  273 Predicted: "Coat" 9.8, Actual: "Pullover" 7.9
  282 Predicted: "Pullover" 8.2, Actual: "Shirt" 7.0
  285 Predicted: "Coat" 10.4, Actual: "Shirt" 10.0
  289 Predicted: "Dress" 6.5, Actual: "Coat" 5.6
  299 Predicted: "Dress" 7.1, Actual: "Bag" 6.1
  311 Predicted: "Shirt" 6.6, Actual: "Dress" 6.6
  312 Predicted: "Pullover" 4.2, Actual: "Shirt" 3.8
  313 Predicted: "Shirt" 8.3, Actual: "Coat" 7.3
  316 Predicted: "Sneaker" 10.6, Actual: "Ankle boot" 8.6
  320 Predicted: "Sandal" 3.9, Actual: "Bag" 3.5
  324 Predicted: "Shirt" 11.7, Actual: "Coat" 9.2
  325 Predicted: "Pullover" 10.3, Actual: "Shirt" 8.7
  332 Predicted: "Shirt" 9.6, Actual: "T-shirt/top" 8.2
  337 Predicted: "Shirt" 7.5, Actual: "Pullover" 7.2
  344 Predicted: "T-shirt/top" 8.7, Actual: "Shirt" 7.8
  359 Predicted: "Shirt" 10.5, Actual: "T-shirt/top" 8.2
  367 Predicted: "Coat" 11.6, Actual: "Pullover" 10.3
  378 Predicted: "Dress" 5.2, Actual: "Coat" 4.9
  381 Predicted: "Shirt" 13.4, Actual: "T-shirt/top" 12.7
  382 Predicted: "T-shirt/top" 8.4, Actual: "Pullover" 6.0
  389 Predicted: "Pullover" 7.1, Actual: "Shirt" 7.0
  396 Predicted: "Shirt" 12.0, Actual: "Coat" 10.3
  406 Predicted: "Dress" 3.9, Actual: "Shirt" 2.9
  409 Predicted: "Dress" 7.7, Actual: "Trouser" 3.2
  441 Predicted: "Sneaker" 11.5, Actual: "Ankle boot" 9.5
  444 Predicted: "Coat" 10.1, Actual: "Shirt" 9.0
  454 Predicted: "Pullover" 8.7, Actual: "T-shirt/top" 4.6
  457 Predicted: "Coat" 13.4, Actual: "Pullover" 11.2
  460 Predicted: "Trouser" 7.1, Actual: "Dress" 4.7
  465 Predicted: "Coat" 6.7, Actual: "Dress" 6.7
  474 Predicted: "T-shirt/top" 7.6, Actual: "Shirt" 5.4
  476 Predicted: "Shirt" 5.2, Actual: "Coat" 3.6
  480 Predicted: "Sneaker" 9.1, Actual: "Sandal" 8.7
